NEC1	28		68?	INPUT SCROLL
NEC1-rnc	28		0	DIGIT 0
NEC1	28		1	DIGIT 1
NEC1	28		2	DIGIT 2
NEC1	28		3	DIGIT 3
NEC1	28		4	DIGIT 4
NEC1	28		5	DIGIT 5
NEC1	28		6	DIGIT 6
NEC1	28		7	DIGIT 7
NEC1	28		8	DIGIT 8
NEC1	28		9	DIGIT 9
NEC1	28		10	POWER TOGGLE
NEC1	28		11	MUTE TOGGLE
NEC1	28		12	DISPLAY
NEC1	28		13	PICTURE
NEC1	28		14	EFFECT
NEC1	28		15	STILL
NEC1	28		16	INFO
NEC1-rnc	28		17	CHANNEL UP
NEC1-rnc	28		17	CURSOR UP
NEC1	28		18	EXIT
NEC1	28		19	CURSOR LEFT
NEC1	28		19	VOLUME DOWN
NEC1	28		20	CURSOR ENTER
NEC1	28		20	MENU MAIN
NEC1	28		21	CURSOR RIGHT
NEC1	28		21	VOLUME UP
NEC1	28		22	SOUND MODE
NEC1	28		23	CHANNEL DOWN
NEC1	28		23	CURSOR DOWN
NEC1	28		24	SLEEP
NEC1	28		26	ERASE
NEC1	28		26	FUNCTION RED
NEC1	28		27	FUNCTION GREEN
NEC1	28		28	FUNCTION YELLOW
NEC1	28		30	FUNCTION BLUE
NEC1	28		31	TELETEXT
NEC1	28		65	FAVORITE
NEC1-rnc	28		68	DIGEST
NEC1	28		69	PREVIOUS CHANNEL
NEC1	28		73	PIP TOGGLE
NEC1	28		76	PIP INPUT SCROLL
NEC1	28		77	PIP SIZE
NEC1-rnc	28		85	PIP CHANNEL UP
NEC1	28		86	PIP MOVE
NEC1	28		91	PIP SWAP
NEC1-rnc	28		136	POP
NEC1	28		138	PIP CHANNEL DOWN